Source: Wittgenstein Centre for Demography and Global Human Capital (2018). Wittgenstein Centre Data Explorer Version 2.0,,,,
Available at: www.wittgensteincentre.org/dataexplorer ,,,,
,,,,
,,,,
Population Size by Education (000's),,,,
"De facto population in a country or region, classified by sex and by five-year age groups. Available by level of educational attainment, in all scenarios, and at all geographical scales. Figures are presented in thousands. <br><br> Data for 1950 to 2015: Based on <a href=""http://esa.un.org/wpp/documentation/WPP%202010%20publications.htm"">UN Population Division, World Population Prospects 2017</a>",,,,
Morocco,2010,Total,504,32407
Mozambique,2010,Total,508,24221.1
Myanmar,2010,Total,104,51359.2
Namibia,2010,Total,516,2193.1
Nepal,2010,Total,524,26889.6
Netherlands,2010,Total,528,16665.7
New Caledonia,2010,Total,540,248.9
New Zealand,2010,Total,554,4368.7
Nicaragua,2010,Total,558,5736.9
Niger,2010,Total,562,16358.8
Nigeria,2010,Total,566,159223
Norway,2010,Total,578,4890.7
Occupied Palestinian Territory,2010,Total,275,4066.5
Oman,2010,Total,512,3041.8
Pakistan,2010,Total,586,170540.7
Panama,2010,Total,591,3641.6
Paraguay,2010,Total,600,6209.2
Peru,2010,Total,604,29369.9
Philippines,2010,Total,608,93717.2
Poland,2010,Total,616,38635.6
Portugal,2010,Total,620,10597.4
Puerto Rico,2010,Total,630,3716.7
Qatar,2010,Total,634,1760.1
Republic of Korea,2010,Total,410,49096.6
Republic of Moldova,2010,Total,498,4085.2
Reunion,2010,Total,638,830.5
Romania,2010,Total,642,20309.6
Russian Federation,2010,Total,643,143157.4
Rwanda,2010,Total,646,10203.2
Saint Lucia,2010,Total,662,172.6
Saint Vincent and the Grenadines,2010,Total,670,109.3
Samoa,2010,Total,882,186.2
Sao Tome and Principe,2010,Total,678,174
Saudi Arabia,2010,Total,682,27426.9
Senegal,2010,Total,686,12915.2
Serbia,2010,Total,688,9058.6
Sierra Leone,2010,Total,694,6459.8
Singapore,2010,Total,702,5078.1
Slovakia,2010,Total,703,5412.1
Slovenia,2010,Total,705,2053.8
Solomon Islands,2010,Total,90,527.1
Somalia,2010,Total,706,12053.1
South Africa,2010,Total,710,51347.6
South Sudan,2010,Total,728,10061.1
Spain,2010,Total,724,46635.9
Sri Lanka,2010,Total,144,20200.8
Sudan,2010,Total,729,35716.7
Suriname,2010,Total,740,526.1
Swaziland,2010,Total,748,1202.9
Sweden,2010,Total,752,9383.7
Switzerland,2010,Total,756,7830.5
Syrian Arab Republic,2010,Total,760,21014.1
Taiwan Province of China,2010,Total,158,23193.2
Tajikistan,2010,Total,762,7641.6
Thailand,2010,Total,764,66792.1
The former Yugoslav Republic of Macedonia,2010,Total,807,2058.8
Timor-Leste,2010,Total,626,1126.9
Togo,2010,Total,768,6418.2
Tonga,2010,Total,776,104.1
Trinidad and Tobago,2010,Total,780,1328.1
Tunisia,2010,Total,788,10639.9
Turkey,2010,Total,792,72332.8
Turkmenistan,2010,Total,795,5088.5
Uganda,2010,Total,800,33914.6
Ukraine,2010,Total,804,45792.4
United Arab Emirates,2010,Total,784,8271.3
United Kingdom of Great Britain and Northern Ireland,2010,Total,826,62711.4
United Republic of Tanzania,2010,Total,834,45930.9
United States of America,2010,Total,840,310925.5
Uruguay,2010,Total,858,3374.4
Vanuatu,2010,Total,548,236.3
Venezuela (Bolivarian Republic of),2010,Total,862,29028
Viet Nam,2010,Total,704,88387.1
World,2010,Total,900,6972709.2
Yemen,2010,Total,887,23610.2
Zambia,2010,Total,894,13907.5
Zimbabwe,2010,Total,716,14019
Afghanistan,2010,Under 15,4,13767.4
Albania,2010,Under 15,8,660.6
Algeria,2010,Under 15,12,9827.8
Angola,2010,Under 15,24,11055.1
Argentina,2010,Under 15,32,10666.2
Armenia,2010,Under 15,51,559.9
Aruba,2010,Under 15,533,21.2
Australia,2010,Under 15,36,4206.3
Austria,2010,Under 15,40,1237.7
Azerbaijan,2010,Under 15,31,2062.6
Bahamas,2010,Under 15,44,81.3
Bahrain,2010,Under 15,48,252
Bangladesh,2010,Under 15,50,48861.2
Belarus,2010,Under 15,112,1406.3
Belgium,2010,Under 15,56,1846.8
Belize,2010,Under 15,84,114.8
Benin,2010,Under 15,204,4033.5
Bhutan,2010,Under 15,64,222.5
Bolivia (Plurinational State of),2010,Under 15,68,3440.2
Bosnia and Herzegovina,2010,Under 15,70,586.1
Botswana,2010,Under 15,72,664.9
Brazil,2010,Under 15,76,49005.8
Bulgaria,2010,Under 15,100,982
Burkina Faso,2010,Under 15,854,7213.3
Burundi,2010,Under 15,108,3865.2
Cambodia,2010,Under 15,116,4768.6
Cameroon,2010,Under 15,120,8679.2
Canada,2010,Under 15,124,5625.4
Cape Verde,2010,Under 15,132,170.9
Central African Republic,2010,Under 15,140,1889.1
Chad,2010,Under 15,148,5775
Chile,2010,Under 15,152,3817.6
China,2010,Under 15,156,242692
Colombia,2010,Under 15,170,12118.7
Comoros,2010,Under 15,174,283.1
Congo,2010,Under 15,178,1828
Costa Rica,2010,Under 15,188,1117.2
Cote d'Ivoire,2010,Under 15,384,8922.1
Croatia,2010,Under 15,191,668.4
Cuba,2010,Under 15,192,1969.6
Curaçao,2010,Under 15,531,29.3
Cyprus,2010,Under 15,196,198.4
Czech Republic,2010,Under 15,203,1500.6
Democratic People's Republic of Korea,2010,Under 15,408,5600.2
Democratic Republic of the Congo,2010,Under 15,180,29771.4
Denmark,2010,Under 15,208,997.1
Dominican Republic,2010,Under 15,214,3111.2
Ecuador,2010,Under 15,218,4589.6
Egypt,2010,Under 15,818,26988.9
El Salvador,2010,Under 15,222,1948.1
Equatorial Guinea,2010,Under 15,226,365.5
Estonia,2010,Under 15,233,201.6
Ethiopia,2010,Under 15,231,38985.7
Fiji,2010,Under 15,242,249.4
Finland,2010,Under 15,246,886.6
France,2010,Under 15,250,11603
French Guiana,2010,Under 15,254,82.6
French Polynesia,2010,Under 15,258,67.5
Gabon,2010,Under 15,266,606.8
Gambia,2010,Under 15,270,783
Georgia,2010,Under 15,268,762.5
Germany,2010,Under 15,276,10972.1
Ghana,2010,Under 15,288,9701.3
Greece,2010,Under 15,300,1707.5
Guadeloupe,2010,Under 15,312,99.2
Guatemala,2010,Under 15,320,5759.4
Guinea,2010,Under 15,324,4693.3
Guinea-Bissau,2010,Under 15,624,658.7
Guyana,2010,Under 15,328,243.9
Haiti,2010,Under 15,332,3588.2
Honduras,2010,Under 15,340,3000.8
Hong Kong Special Administrative Region of China,2010,Under 15,344,838.5
Hungary,2010,Under 15,348,1475.3
Iceland,2010,Under 15,352,66.6
India,2010,Under 15,356,380274.3
Indonesia,2010,Under 15,360,70253.6
Iran (Islamic Republic of),2010,Under 15,364,17492.7
Iraq,2010,Under 15,368,12824.5
Ireland,2010,Under 15,372,958
Israel,2010,Under 15,376,2025.3
Italy,2010,Under 15,380,8368.6
Jamaica,2010,Under 15,388,759.3
Japan,2010,Under 15,392,17167.7
Jordan,2010,Under 15,400,2657.7
Kazakhstan,2010,Under 15,398,3942
Kenya,2010,Under 15,404,17880.1
Kiribati,2010,Under 15,296,37
Kuwait,2010,Under 15,414,695.9
Kyrgyzstan,2010,Under 15,417,1621.1
Lao People's Democratic Republic,2010,Under 15,418,2266.7
Latvia,2010,Under 15,428,298.5
Lebanon,2010,Under 15,422,1028.8
Lesotho,2010,Under 15,426,760.6
Liberia,2010,Under 15,430,1711.4
Lithuania,2010,Under 15,440,461.2
Luxembourg,2010,Under 15,442,89.6
Macao Special Administrative Region of China,2010,Under 15,446,68.4
Madagascar,2010,Under 15,450,9205.7
Malawi,2010,Under 15,454,7009.5
Malaysia,2010,Under 15,458,7852.1
Maldives,2010,Under 15,462,92.8
Mali,2010,Under 15,466,7156.2
Malta,2010,Under 15,470,63.1
Martinique,2010,Under 15,474,77.3
Mauritius,2010,Under 15,480,273.9
Mexico,2010,Under 15,484,34960.9
Micronesia (Federated States of),2010,Under 15,583,38.2
Mongolia,2010,Under 15,496,731.2
Montenegro,2010,Under 15,499,120.1
Morocco,2010,Under 15,504,9235.6
Mozambique,2010,Under 15,508,11077.5
Myanmar,2010,Under 15,104,15035.8
Namibia,2010,Under 15,516,835.2
Nepal,2010,Under 15,524,10004.2
Netherlands,2010,Under 15,528,2923.2
New Caledonia,2010,Under 15,540,60.5
New Zealand,2010,Under 15,554,895.7
Nicaragua,2010,Under 15,558,1881.3
Niger,2010,Under 15,562,8206.8
Nigeria,2010,Under 15,566,69822.7
Norway,2010,Under 15,578,919.1
Occupied Palestinian Territory,2010,Under 15,275,1724.3
Oman,2010,Under 15,512,781.3
Pakistan,2010,Under 15,586,61714.3
Panama,2010,Under 15,591,1061.8
Paraguay,2010,Under 15,600,2030.8
Peru,2010,Under 15,604,8624.6
Philippines,2010,Under 15,608,31774.7
Poland,2010,Under 15,616,5831.8
Portugal,2010,Under 15,620,1593.2
Puerto Rico,2010,Under 15,630,766.4
Qatar,2010,Under 15,634,232.9
Republic of Korea,2010,Under 15,410,7978.8
Republic of Moldova,2010,Under 15,498,674.6
Reunion,2010,Under 15,638,211.1
Romania,2010,Under 15,642,3225.1
Russian Federation,2010,Under 15,643,21316.7
Rwanda,2010,Under 15,646,4279.4
Saint Lucia,2010,Under 15,662,40
Saint Vincent and the Grenadines,2010,Under 15,670,29
Samoa,2010,Under 15,882,71.2
Sao Tome and Principe,2010,Under 15,678,77.1
Saudi Arabia,2010,Under 15,682,8169.2
Senegal,2010,Under 15,686,5585.4
Serbia,2010,Under 15,688,1561.8
Sierra Leone,2010,Under 15,694,2838.8
Singapore,2010,Under 15,702,879.9
Slovakia,2010,Under 15,703,828.8
Slovenia,2010,Under 15,705,287.4
Solomon Islands,2010,Under 15,90,215.2
Somalia,2010,Under 15,706,5744.7
South Africa,2010,Under 15,710,15697.2
South Sudan,2010,Under 15,728,4363.6
Spain,2010,Under 15,724,6837.2
Sri Lanka,2010,Under 15,144,5136.6
Sudan,2010,Under 15,729,14788.8
Suriname,2010,Under 15,740,151
Swaziland,2010,Under 15,748,474.8
Sweden,2010,Under 15,752,1550.1
Switzerland,2010,Under 15,756,1178.8
Syrian Arab Republic,2010,Under 15,760,7643.8
Taiwan Province of China,2010,Under 15,158,3715.6
Tajikistan,2010,Under 15,762,2731
Thailand,2010,Under 15,764,12901.9
The former Yugoslav Republic of Macedonia,2010,Under 15,807,370.8
Timor-Leste,2010,Under 15,626,506
Togo,2010,Under 15,768,2765.3
Tonga,2010,Under 15,776,38.9
Trinidad and Tobago,2010,Under 15,780,275.2
Tunisia,2010,Under 15,788,2483.1
Turkey,2010,Under 15,792,19457.3
Turkmenistan,2010,Under 15,795,1501.6
Uganda,2010,Under 15,800,16711
Ukraine,2010,Under 15,804,6468.8
United Arab Emirates,2010,Under 15,784,1106.4
United Kingdom of Great Britain and Northern Ireland,2010,Under 15,826,11092.8
United Republic of Tanzania,2010,Under 15,834,20860.8
United States of America,2010,Under 15,840,62260.5
Uruguay,2010,Under 15,858,759.4
Vanuatu,2010,Under 15,548,90.3
Venezuela (Bolivarian Republic of),2010,Under 15,862,8636.2
Viet Nam,2010,Under 15,704,20948.8
World,2010,Under 15,900,1864424.1
Yemen,2010,Under 15,887,10024.2
Zambia,2010,Under 15,894,6478.3
Zimbabwe,2010,Under 15,716,5849.1
Afghanistan,2010,No Education,4,9972.9
Albania,2010,No Education,8,87.8
Algeria,2010,No Education,12,5062.6
Angola,2010,No Education,24,5434.2
Argentina,2010,No Education,32,565.1
Armenia,2010,No Education,51,17.5
Aruba,2010,No Education,533,6.1
Australia,2010,No Education,36,146.1
Austria,2010,No Education,40,0
Azerbaijan,2010,No Education,31,21.3
Bahamas,2010,No Education,44,5
Bahrain,2010,No Education,48,50.9
Bangladesh,2010,No Education,50,37153.1
Belarus,2010,No Education,112,33.8
Belgium,2010,No Education,56,259.6
Belize,2010,No Education,84,10.1
Benin,2010,No Education,204,2625.1
Bhutan,2010,No Education,64,244.3
Bolivia (Plurinational State of),2010,No Education,68,410.7
Bosnia and Herzegovina,2010,No Education,70,258.7
Botswana,2010,No Education,72,161.6
Brazil,2010,No Education,76,13168.5
Bulgaria,2010,No Education,100,75.4
Burkina Faso,2010,No Education,854,6085
Burundi,2010,No Education,108,2310.7
Cambodia,2010,No Education,116,2393.1
Cameroon,2010,No Education,120,2911.3
Canada,2010,No Education,124,115.5
Cape Verde,2010,No Education,132,37.8
Central African Republic,2010,No Education,140,756.2
Chad,2010,No Education,148,3834.8
Chile,2010,No Education,152,330.1
China,2010,No Education,156,56868
Colombia,2010,No Education,170,2287.8
Comoros,2010,No Education,174,130.3
Congo,2010,No Education,178,229.6
Costa Rica,2010,No Education,188,121.2
Cote d'Ivoire,2010,No Education,384,5501.3
Croatia,2010,No Education,191,59
Cuba,2010,No Education,192,171.6
Curaçao,2010,No Education,531,0.4
Cyprus,2010,No Education,196,33.6
Czech Republic,2010,No Education,203,43.4
Democratic People's Republic of Korea,2010,No Education,408,135.9
Democratic Republic of the Congo,2010,No Education,180,6454.3
Denmark,2010,No Education,208,6.1
Dominican Republic,2010,No Education,214,905.5
Ecuador,2010,No Education,218,789.4
Egypt,2010,No Education,818,16265.4
El Salvador,2010,No Education,222,658.4
Equatorial Guinea,2010,No Education,226,45.7
Estonia,2010,No Education,233,3.1
Ethiopia,2010,No Education,231,27746.3
Fiji,2010,No Education,242,5.4
Finland,2010,No Education,246,0
France,2010,No Education,250,853.4
French Guiana,2010,No Education,254,23.3
French Polynesia,2010,No Education,258,6
Gabon,2010,No Education,266,104.7
Gambia,2010,No Education,270,534.9
Georgia,2010,No Education,268,20.9
Germany,2010,No Education,276,0
Ghana,2010,No Education,288,4071.6
Greece,2010,No Education,300,244.3
Guadeloupe,2010,No Education,312,6.5
Guatemala,2010,No Education,320,1912.5
Guinea,2010,No Education,324,3550.4
Guinea-Bissau,2010,No Education,624,440.8
Guyana,2010,No Education,328,8.7
Haiti,2010,No Education,332,2479.5
Honduras,2010,No Education,340,931
Hong Kong Special Administrative Region of China,2010,No Education,344,334.4
Hungary,2010,No Education,348,46.3
Iceland,2010,No Education,352,0.1
India,2010,No Education,356,285173.2
Indonesia,2010,No Education,360,13354
Iran (Islamic Republic of),2010,No Education,364,8562.3
Iraq,2010,No Education,368,3235.8
Ireland,2010,No Education,372,0
Israel,2010,No Education,376,135.1
Italy,2010,No Education,380,512.5
Jamaica,2010,No Education,388,13
Japan,2010,No Education,392,138.8
Jordan,2010,No Education,400,428
Kazakhstan,2010,No Education,398,41
Kenya,2010,No Education,404,3768.6
Kiribati,2010,No Education,296,6.8
Kuwait,2010,No Education,414,101.4
Kyrgyzstan,2010,No Education,417,26
Lao People's Democratic Republic,2010,No Education,418,901.6
Latvia,2010,No Education,428,1.9
Lebanon,2010,No Education,422,255.5
Lesotho,2010,No Education,426,133.1
Liberia,2010,No Education,430,1116.2
Lithuania,2010,No Education,440,19.2
Luxembourg,2010,No Education,442,0
Macao Special Administrative Region of China,2010,No Education,446,16.4
Madagascar,2010,No Education,450,2720.3
Malawi,2010,No Education,454,2098.3
Malaysia,2010,No Education,458,1453.1
Maldives,2010,No Education,462,32.9
Mali,2010,No Education,466,5770
Malta,2010,No Education,470,5.3
Martinique,2010,No Education,474,4
Mauritius,2010,No Education,480,50.2
Mexico,2010,No Education,484,5788
Micronesia (Federated States of),2010,No Education,583,5.3
Mongolia,2010,No Education,496,42.2
Montenegro,2010,No Education,499,3.6
Morocco,2010,No Education,504,10747.1
Mozambique,2010,No Education,508,7909.4
Myanmar,2010,No Education,104,6484.7
Namibia,2010,No Education,516,192.7
Nepal,2010,No Education,524,6884.8
Netherlands,2010,No Education,528,0
New Caledonia,2010,No Education,540,11.3
New Zealand,2010,No Education,554,55
Nicaragua,2010,No Education,558,749.7
Niger,2010,No Education,562,5886.9
Nigeria,2010,No Education,566,35416.8
Norway,2010,No Education,578,12.9
Occupied Palestinian Territory,2010,No Education,275,87.2
Oman,2010,No Education,512,382.1
Pakistan,2010,No Education,586,55404.7
Panama,2010,No Education,591,149.6
Paraguay,2010,No Education,600,127
Peru,2010,No Education,604,1122.7
Philippines,2010,No Education,608,1282.5
Poland,2010,No Education,616,0
Portugal,2010,No Education,620,875.8
Puerto Rico,2010,No Education,630,64
Qatar,2010,No Education,634,63
Republic of Korea,2010,No Education,410,1601.1
Republic of Moldova,2010,No Education,498,62
Reunion,2010,No Education,638,38.1
Romania,2010,No Education,642,216.8
Russian Federation,2010,No Education,643,308.7
Rwanda,2010,No Education,646,1226.7
Saint Lucia,2010,No Education,662,6.4
Saint Vincent and the Grenadines,2010,No Education,670,0.6
Samoa,2010,No Education,882,0.6
Sao Tome and Principe,2010,No Education,678,10.7
Saudi Arabia,2010,No Education,682,2501.1
Senegal,2010,No Education,686,4073.2
Serbia,2010,No Education,688,247.5
Sierra Leone,2010,No Education,694,2051.7
Singapore,2010,No Education,702,277.2
Slovakia,2010,No Education,703,29.8
Slovenia,2010,No Education,705,6
Solomon Islands,2010,No Education,90,56.1
Somalia,2010,No Education,706,3354.3
South Africa,2010,No Education,710,2635.5
South Sudan,2010,No Education,728,4274
Spain,2010,No Education,724,715.9
Sri Lanka,2010,No Education,144,2248.3
Sudan,2010,No Education,729,10629.1
Suriname,2010,No Education,740,1.5
Swaziland,2010,No Education,748,69.6
Sweden,2010,No Education,752,0
Switzerland,2010,No Education,756,127.1
Syrian Arab Republic,2010,No Education,760,2264.2
Taiwan Province of China,2010,No Education,158,401.5
Tajikistan,2010,No Education,762,34.4
Thailand,2010,No Education,764,2009.6
The former Yugoslav Republic of Macedonia,2010,No Education,807,64.9
Timor-Leste,2010,No Education,626,256.3
Togo,2010,No Education,768,1305.2
Tonga,2010,No Education,776,0.6
Trinidad and Tobago,2010,No Education,780,17.7
Tunisia,2010,No Education,788,1917.6
Turkey,2010,No Education,792,3001.2
Turkmenistan,2010,No Education,795,11.6
Uganda,2010,No Education,800,2776.7
Ukraine,2010,No Education,804,128.7
United Arab Emirates,2010,No Education,784,585.5
United Kingdom of Great Britain and Northern Ireland,2010,No Education,826,0
United Republic of Tanzania,2010,No Education,834,5115.3
United States of America,2010,No Education,840,2780.2
Uruguay,2010,No Education,858,29.6
Vanuatu,2010,No Education,548,25.1
Venezuela (Bolivarian Republic of),2010,No Education,862,1011.8
Viet Nam,2010,No Education,704,3894.7
World,2010,No Education,900,781899.9
Yemen,2010,No Education,887,11128.9
Zambia,2010,No Education,894,1213.5
Zimbabwe,2010,No Education,716,773.4
Afghanistan,2010,Incomplete Primary,4,0
Albania,2010,Incomplete Primary,8,13.1
Algeria,2010,Incomplete Primary,12,1125.6
Angola,2010,Incomplete Primary,24,1510.4
Argentina,2010,Incomplete Primary,32,3799.5
Armenia,2010,Incomplete Primary,51,0
Aruba,2010,Incomplete Primary,533,5.5
Australia,2010,Incomplete Primary,36,0
Austria,2010,Incomplete Primary,40,0
Azerbaijan,2010,Incomplete Primary,31,44.4
Bahamas,2010,Incomplete Primary,44,6.9
Bahrain,2010,Incomplete Primary,48,237.8
Bangladesh,2010,Incomplete Primary,50,10339.2
Belarus,2010,Incomplete Primary,112,40.9
Belgium,2010,Incomplete Primary,56,0
Belize,2010,Incomplete Primary,84,37.8
Benin,2010,Incomplete Primary,204,798.2
Bhutan,2010,Incomplete Primary,64,83.1
Bolivia (Plurinational State of),2010,Incomplete Primary,68,950.2
Bosnia and Herzegovina,2010,Incomplete Primary,70,37.8
Botswana,2010,Incomplete Primary,72,119.1
Brazil,2010,Incomplete Primary,76,20832.1
Bulgaria,2010,Incomplete Primary,100,76.5
Burkina Faso,2010,Incomplete Primary,854,840.5
Burundi,2010,Incomplete Primary,108,1442.1
Cambodia,2010,Incomplete Primary,116,2519.4
Cameroon,2010,Incomplete Primary,120,703.9
Canada,2010,Incomplete Primary,124,358.5
Cape Verde,2010,Incomplete Primary,132,123.2
Central African Republic,2010,Incomplete Primary,140,672.5
Chad,2010,Incomplete Primary,148,847.1
Chile,2010,Incomplete Primary,152,1096.8
China,2010,Incomplete Primary,156,72523
Colombia,2010,Incomplete Primary,170,5178.7
Comoros,2010,Incomplete Primary,174,51.3
Congo,2010,Incomplete Primary,178,369.7
Costa Rica,2010,Incomplete Primary,188,444.5
Cote d'Ivoire,2010,Incomplete Primary,384,1666.1
Croatia,2010,Incomplete Primary,191,32.6
Cuba,2010,Incomplete Primary,192,471.3
Curaçao,2010,Incomplete Primary,531,5.5
Cyprus,2010,Incomplete Primary,196,0
Czech Republic,2010,Incomplete Primary,203,0
Democratic People's Republic of Korea,2010,Incomplete Primary,408,0
Democratic Republic of the Congo,2010,Incomplete Primary,180,8299.4
Denmark,2010,Incomplete Primary,208,0
Dominican Republic,2010,Incomplete Primary,214,1219.3
Ecuador,2010,Incomplete Primary,218,1572
Egypt,2010,Incomplete Primary,818,3683.5
El Salvador,2010,Incomplete Primary,222,892.9
Equatorial Guinea,2010,Incomplete Primary,226,97.3
Estonia,2010,Incomplete Primary,233,0
Ethiopia,2010,Incomplete Primary,231,9348.7
Fiji,2010,Incomplete Primary,242,27.7
Finland,2010,Incomplete Primary,246,0
France,2010,Incomplete Primary,250,0
French Guiana,2010,Incomplete Primary,254,8.5
French Polynesia,2010,Incomplete Primary,258,6.8
Gabon,2010,Incomplete Primary,266,149.3
Gambia,2010,Incomplete Primary,270,44.8
Georgia,2010,Incomplete Primary,268,36.7
Germany,2010,Incomplete Primary,276,0
Ghana,2010,Incomplete Primary,288,1450.8
Greece,2010,Incomplete Primary,300,416.9
Guadeloupe,2010,Incomplete Primary,312,40
Guatemala,2010,Incomplete Primary,320,2358.6
Guinea,2010,Incomplete Primary,324,858
Guinea-Bissau,2010,Incomplete Primary,624,203.4
Guyana,2010,Incomplete Primary,328,20.7
Haiti,2010,Incomplete Primary,332,1037.2
Honduras,2010,Incomplete Primary,340,1300.3
Hong Kong Special Administrative Region of China,2010,Incomplete Primary,344,437.9
Hungary,2010,Incomplete Primary,348,0
Iceland,2010,Incomplete Primary,352,0
India,2010,Incomplete Primary,356,54907.1
Indonesia,2010,Incomplete Primary,360,12336.4
Iran (Islamic Republic of),2010,Incomplete Primary,364,3411.3
Iraq,2010,Incomplete Primary,368,3700.1
Ireland,2010,Incomplete Primary,372,19.2
Israel,2010,Incomplete Primary,376,249.2
Italy,2010,Incomplete Primary,380,1725.7
Jamaica,2010,Incomplete Primary,388,118.4
Japan,2010,Incomplete Primary,392,0
Jordan,2010,Incomplete Primary,400,402
Kazakhstan,2010,Incomplete Primary,398,194.1
Kenya,2010,Incomplete Primary,404,3505.9
Kiribati,2010,Incomplete Primary,296,8
Kuwait,2010,Incomplete Primary,414,641.5
Kyrgyzstan,2010,Incomplete Primary,417,35.9
Lao People's Democratic Republic,2010,Incomplete Primary,418,733.3
Latvia,2010,Incomplete Primary,428,9.2
Lebanon,2010,Incomplete Primary,422,129
Lesotho,2010,Incomplete Primary,426,394.2
Liberia,2010,Incomplete Primary,430,255.7
Lithuania,2010,Incomplete Primary,440,35.9
Luxembourg,2010,Incomplete Primary,442,0
Macao Special Administrative Region of China,2010,Incomplete Primary,446,34.2
Madagascar,2010,Incomplete Primary,450,5005.1
